"word","sentiment"
"endiosamiento","negative"
"energizar","positive"
"enervar","negative"
"enfadoso","negative"
"enfermedad","negative"
"enfermo","negative"
"enfurecido","negative"
"engano","negative"
"enganoso","negative"
"engendro","negative"
"engorroso","negative"
"engreimiento","negative"
"enojar","negative"
"enojoso","negative"
"enredo","negative"
"entono","negative"
"entranable","positive"
"entremetido","negative"
"entrometido","negative"
"envalentonamiento","negative"
"envanecimiento","negative"
"enzarzar","negative"
"equivalencia","positive"
"equivocacion","negative"
"equivocar","negative"
"equivocarse","negative"
"errar","negative"
"erroneo","negative"
"error","negative"
"erudito","positive"
"escalofriante","negative"
"escandalizar","negative"
"escandaloso","negative"
"escaramuza","negative"
"escasez","negative"
"escaso","negative"
"escoria","negative"
"escoriar","negative"
"esencial","positive"
"esforzado","positive"
"espanto","negative"
"espantoso","negative"
"especial","positive"
"espina","negative"
"espinoso","negative"
"esplendido","positive"
"esplendor","positive"
"esplendoroso","positive"
"estafa","negative"
"esteril","negative"
"estimular","positive"
"estirado","negative"
"estrafalario","negative"
"estrambotico","negative"
"estrella","positive"
"estremecedor","negative"
"estridente","negative"
"estruendo","negative"
"estupendo","positive"
"estupido","negative"
"euforia","positive"
"euforico","positive"
"evasivo","negative"
"exacto","positive"
"exagerado","negative"
"exagerar","negative"
"exaltar","positive"
"exasperante","negative"
"exceder","positive"
"excelente","positive"
"excentrico","negative"
"excepcional","positive"
"exclusivo","positive"
"exculpar","positive"
"execracion","negative"
"exencion","positive"
"exiguidad","negative"
"exiguo","negative"
"exitoso","positive"
"exorbitante","negative"
"experto","positive"
"expresivo","positive"
"exquisito","positive"
"exterminacion","negative"
"exterminio","negative"
"extrano","negative"
"extraordinario","positive"
"extravagante","negative"
"extremo","negative"
"exuberante","positive"
"exultacion","positive"
"exultant","positive"
"facilidad","positive"
"facistol","negative"
"factible","positive"
"fallo","negative"
"falsificado","negative"
"falta","negative"
"famoso","positive"
"fanfarron","negative"
"fantasma","negative"
"fantastico","positive"
"fantoche","negative"
"farolero","negative"
"fascinar","positive"
"fastidiado","negative"
"fastidiar","negative"
"fastidioso","negative"
"fasto","positive"
"fastuosidad","positive"
"fastuoso","positive"
"fatal","negative"
"fatiga","negative"
"fatuo","negative"
"favorito","positive"
"fecundo","positive"
"fehaciente","positive"
"feliz","positive"
"fenomenal","negative"
"ferocidad","negative"
"fertil","positive"
"ferviente","positive"
"fervor","positive"
"fervoroso","positive"
"festejo","positive"
"fetidez","negative"
"fiabilidad","positive"
"fiable","positive"
"fiasco","negative"
"fidedigno","positive"
"fiera","negative"
"fiereza","negative"
"fineza","positive"
"fino","positive"
"firme","positive"
"fisgon","negative"
